"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
17951164877934470,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Sink into comfort with the Nicolo chair 🤎 It's soft curves are made for slow moments.",0,"01/07/2026 09:01",https://www.instagram.com/p/DTN5QaEkmza/,"IG carousel",,Lifetime,16370,45,3,5,14,3499,0
18115535062850429,17841434051990545,my.lymingtonhome,"Shannon • Home DIY & Lifestyle 🤍","Ad The sun finally made an appearance, so naturally I abandoned my extremely long to do list and claimed my spot in the garden 🌞 

I’ve been obsessed with this egg chair from @barkerandstonehouse It’s one of those pieces that instantly makes your outdoor space feel like a little retreat. Stylish, comfortable and perfect for those moments when you just need to switch off and enjoy the sunshine! 

Now if anyone needs me, I’ll be right here… doing absolutely nothing 🙃✨",24,"06/23/2026 09:45",https://www.instagram.com/reel/DZ74F8hsv4V/,"IG reel",,Lifetime,3495,45,1,15,0,,
18157069840462968,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Our Lomax sofa is the ultimate place to lounge this season, whether you’re kicking back with a quiet cuppa or having the whole squad round for a summer of sport ☀️

Combining generous comfort with a customisable modular design, you can style it, arrange it, and make it completely yours.",0,"06/22/2026 10:01",https://www.instagram.com/p/DZ5VOggDaca/,"IG carousel",,Lifetime,3070,15,4,0,0,1444,1
18056712815739238,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","This is your reminder🚨

Pop into your local Barker and Stonehouse this week and scan the QR code for a chance to win a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery🥳

Hurry…only 9 days left!",11,"06/21/2026 01:30",https://www.instagram.com/reel/DZ116E0u25p/,"IG reel",,Lifetime,1803,19,0,0,0,1460,0
18099856811129283,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Summer just got a little more exciting ☀️

Visit your local Barker & Stonehouse for the chance to win a prize such as a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery😆

1️⃣ Scan & screenshot: Scan the QR code and save your result.

2️⃣ Shop your prize: Choose the item you’d like to put it towards.

3️⃣ Show & redeem: Show your screenshot to a team member at checkout.

Pop in store, take part, and see what you could win🥳",29,"06/20/2026 01:30",https://www.instagram.com/reel/DZzRL4juxCp/,"IG reel",,Lifetime,2620,18,1,1,0,1980,0
17951302545172386,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Summer has well and truly arrived ☀️

Make the most of the season with a fresh new look for your home. Enjoy 25% off all furniture, up to 50% off clearance, and 70% off accessories in our Summer Sale. 

Shop online and in store from tomorrow.",16,"06/19/2026 01:30",https://www.instagram.com/reel/DZzRJlbugfA/,"IG reel",,Lifetime,2824,35,3,3,0,1969,0
17907975834427579,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Have you received your copy of The Summer Times yet? ☀️

Packed with all the inspiration you need for the season ahead, it’s your go-to guide for summer style.

Plus, there’s an extra summer gift waiting for you🤭",26,"06/18/2026 09:31",https://www.instagram.com/reel/DZu-imYCRO-/,"IG reel",,Lifetime,2161,15,0,0,1,1704,0
18074992001665541,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Designed for slow mornings and cosy evenings, the Providence modular corner sofa brings effortless comfort and understated style to your space.

Image credit: @life_at_the_lodge",0,"06/16/2026 10:30",https://www.instagram.com/p/DZp7vG7G1Qq/,"IG carousel",,Lifetime,5181,53,0,3,2,2542,0
18099519296146191,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Summer is coming…and so is our Summer Sale! Offers start Saturday in store and online.",16,"06/15/2026 10:00",https://www.instagram.com/reel/DZnTgfmOo8z/,"IG reel",,Lifetime,1729,22,0,2,0,1349,0
18001351610943418,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","This is your sign…to refresh your space for less ✨

Save 20% off all accessories online and in store, plus up to 70% off selected pieces in store only.",28,"06/14/2026 01:30",https://www.instagram.com/reel/DZj0VyNOwWU/,"IG reel",,Lifetime,5799,39,0,0,6,4827,1
18094021085582191,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Eighty years after the famous @ercol_uk Windsor Chair first appeared in Barker and Stonehouse stores, the partnership between our two brands continues to evolve.

With the next generation now shaping the future, the collaboration remains rooted in the same foundations that started it all: family values, thoughtful design and a belief that great furniture should stand the test of time.",75,"06/12/2026 09:54",https://www.instagram.com/reel/DZff9uLOdCN/,"IG reel",,Lifetime,2389,35,2,0,2,1865,0
18090615560165143,17841404850706638,behindnumberdeux,"Nisha | Interiors & Lifestyle","Ad | Timeless design, beautiful craftsmanship, and chairs you’ll never tire of 🤎✨ Meet the Reina dining chairs from @barkerandstonehouse.

📌 Save for future. Link to the exact dining chairs on my stories.

Dining Chairs | Dining Room | Dining Area | Dining Room Inspo | Rattan Chair | Timeless Interiors | Vintage Art |
Vintage Interiors | Country Living | Nancy Meyers | Open Plan | Family Room | Victorian home style | Historic home | Classic design | Elegant home | English country house | Heritage home | Studio McGee Style | Vintage Interiors | Collected home, Interior design | Old-world elegance | Modern Heritage 

#diningroom #diningroominspo #diningchair #diningchairs #openplanliving",7,"06/09/2026 22:00",https://www.instagram.com/reel/DZZJMwUhjul/,"IG reel",,Lifetime,27637,575,52,220,0,,
18096062293960385,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Burl is having a moment 🤎

With its wood grain texture and retro soul, our Castille burl-effect coffee table brings instant character to any space.",0,"06/09/2026 09:02",https://www.instagram.com/p/DZXwHmeDAys/,"IG carousel",,Lifetime,3835,24,2,0,4,1682,0
17919730395165456,17841404082402912,toby_rex_thegingerduo,"The Gingers & Jenn 🧡 🐾","PSA - @barkerandstonehouse stores are dog friendly! 🛋️ 🐾 

Come with us for a browse, a nap and some lunch at the Teesside Park branch. 🥗 💤 👅 

Ad. 

#dogsofinstagram #dogfriendly #barkerandstonehouse #interior #doglover",61,"06/06/2026 02:26",https://www.instagram.com/reel/DZPTrJdto8s/,"IG reel",,Lifetime,15607,121,15,12,0,,
18102268550028420,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","There’s a reason @ercol_uk pieces made decades ago are still treasured in homes today. 

As this story from Henry Tadros shows, quality, craftsmanship and longevity have never been an afterthought - they’ve always been at the heart of everything ercol does.",52,"06/05/2026 08:40",https://www.instagram.com/reel/DZNabi_uAPp/,"IG reel",,Lifetime,3117,38,6,0,1,2350,1
18474044884103885,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Give your dining space a fresh new feel with the perfect chairs.

Shop now and save up to 20% when you buy 4 or more from our selected range, for a limited time only!",0,"06/04/2026 09:03",https://www.instagram.com/p/DZK4MRtjEgS/,"IG carousel",,Lifetime,3401,15,0,0,2,1584,0
18086507768632957,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","POV: you’ve just found your new favourite sofa 🛋️

Styling the Lomax, the definition of laid-back luxury…soft curves, sink-in comfort and modular design made for slow mornings, movie nights and everything in between.

The kind of sofa that makes you want to stay home a little longer 🏡",24,"06/02/2026 10:30",https://www.instagram.com/reel/DZAvDacu0Vm/,"IG reel",,Lifetime,2011,23,1,0,3,1626,0
18105057821060490,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","A visit to beautiful Norwich isn’t complete without stepping inside the iconic @jarroldnorwich ✨

And now there’s even more reason to stop by - the newest Barker and Stonehouse concession store is waiting, filled with our latest collections to inspire your interior.

Find us on the second floor 📍",24,"06/01/2026 10:00",https://www.instagram.com/reel/DY7h_VouSSb/,"IG reel",,Lifetime,5998,124,6,2,6,4664,2
